"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
1595,1,2000,2007,3,0,0,57941.43108,0,1271,1395,1416,3.21643835616438,2.62465753424658,1.79452054794521,1,1,1
1597,0,2000,2004,2,0,0,154663.7532,0,774,1198,1198,5.83013698630137,3.75068493150685,3.75068493150685,2,1,2
1598,0,2000,2007,2,0,0,155763.104135,0,1195,1279,1243,3.38630136986301,3.0986301369863,3.30684931506849,0,1,1
1599,0,2000,2001,2,0,0,17847.676665,0,1501,890,890,1.58630136986301,4.97534246575342,4.97534246575342,0,1,0
1600,1,2000,2002,3,0,0,30471.5389145,0,524,865,634,7.05479452054795,6.07397260273973,7.05205479452055,0,1,0
1601,1,2000,2001,2,0,0,32203.137465,0,925,1287,1287,6.16438356164384,2.71780821917808,2.71780821917808,0,1,0
1604,1,2000,2013,2,0,1,41781.723355,0,1247,494,1020,3.80821917808219,10.3534246575342,5.01095890410959,8,1,9
1605,0,2000,2015,2,0,0,17011.455516,0,1222,494,494,2.97808219178082,10.3561643835616,10.3561643835616,9,1,12
1606,1,2000,2006,2,0,0,70946.760025,0,595,495,495,6.99452054794521,6.99452054794521,6.99452054794521,5,1,4
1607,1,2001,2015,3,0,0,17011.455516,0,1222,494,494,3.60821917808219,10.986301369863,10.986301369863,5,1,11
1608,1,2000,2007,2,0,1,41781.723355,0,1247,494,1020,3.81643835616438,10.3616438356164,5.01917808219178,4,1,6
1609,1,2001,2003,2,0,0,38126.47984,0,1177,1395,1395,4.93972602739726,3.81369863013699,3.81369863013699,0,1,1
1610,1,2000,2007,2,0,0,81896.701165,0,1170,917,917,3.53150684931507,6.46301369863014,6.46301369863014,7,1,5
1611,1,2000,2012,3,0,0,87858.949325,0,639,1028,1028,6.23287671232877,5.03013698630137,5.03013698630137,4,1,8
1612,0,2000,2003,4,0,0,58294.84802,0,949,557,557,5.28219178082192,7.30958904109589,7.30958904109589,2,1,3
1614,0,2001,2008,3,1,0,17334.968263,0,912,1348,1348,6.98082191780822,2.82465753424658,2.82465753424658,2,1,4
1615,1,2000,2001,2,0,0,13542.344852,0,1130,1356,1356,3.97534246575342,2.95068493150685,2.95068493150685,0,1,0
1616,1,2000,2012,3,0,0,27032.2446,0,1384,1370,NA,2.3013698630137,3.33150684931507,NA,11,1,7
1617,0,2000,2011,2,0,0,80037.50052,0,858,1063,1063,6.06575342465753,4.00821917808219,4.00821917808219,2,1,8
1619,0,2001,2002,NA,0,0,145545.9229,0,1436,1381,668,2.03561643835616,3.94246575342466,7.23013698630137,0,1,0
1623,1,2001,2005,2,0,0,43662.216145,0,840,497,597,7.11506849315068,8.02465753424658,7.27123287671233,4,1,2
1660,0,2002,2016,2,0,0,21647.33411,0,1605,497,497,1.36164383561644,8.6986301369863,8.6986301369863,0,1,0
