"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
5634,0,2017,2010,2017,2,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2012,2010,2017,1,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5634,0,2016,2010,2017,1,2,0,1,6729.137015,3022,1616,3696,6.96986301369863,10.0712328767123,6.02465753424658
5636,0,2010,2010,2012,0,2,0,0,24957.17595,5336,5290,5290,1.60547945205479,2.13698630136986,2.13698630136986
5636,0,2011,2010,2012,0,2,0,0,24957.17595,5336,5290,5290,1.60547945205479,2.13698630136986,2.13698630136986
5636,0,2012,2010,2012,0,2,0,0,24957.17595,5336,5290,5290,1.60547945205479,2.13698630136986,2.13698630136986
5637,0,2012,2011,2012,0,3,1,0,8035.332835,5324,1494,1869,2.43287671232877,12.0328767123288,8
5637,0,2011,2011,2012,0,3,1,0,8035.332835,5324,1494,1869,2.43287671232877,12.0328767123288,8
5638,1,2011,2011,2016,0,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5638,1,2012,2011,2016,0,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5638,1,2015,2011,2016,0,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5638,1,2016,2011,2016,0,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5638,1,2014,2011,2016,1,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5638,1,2013,2011,2016,0,2,0,0,7308.140704,1617,1801,1494,10.8191780821918,8.43013698630137,11.8109589041096
5641,0,2011,2011,2017,0,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2017,2011,2017,1,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2014,2011,2017,1,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2016,2011,2017,0,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2013,2011,2017,0,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2015,2011,2017,1,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5641,0,2012,2011,2017,0,3,0,0,102680.0184,3517,5077,5333,5.65753424657534,3.93424657534247,1.87123287671233
5642,0,2011,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5642,0,2012,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5642,0,2010,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5642,0,2015,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5642,0,2014,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5642,0,2013,2010,2015,0,2,0,0,28504.919,1852,3456,5071,7.29315068493151,6.47671232876712,3.54794520547945
5643,1,2010,2010,2017,0,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2017,2010,2017,1,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2012,2010,2017,0,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2011,2010,2017,0,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2016,2010,2017,0,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2015,2010,2017,0,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2014,2010,2017,1,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5643,1,2013,2010,2017,1,2,0,0,8163.64361,5277,5240,4933,2.12328767123288,2.66849315068493,4.23835616438356
5648,0,2011,2011,2013,0,4,1,0,27629.34673,5277,4933,4933,2.7041095890411,4.81917808219178,4.81917808219178
5648,0,2012,2011,2013,0,4,1,0,27629.34673,5277,4933,4933,2.7041095890411,4.81917808219178,4.81917808219178
5648,0,2013,2011,2013,0,4,1,0,27629.34673,5277,4933,4933,2.7041095890411,4.81917808219178,4.81917808219178
